tf	n_autosomal_sites	n_written	status
ZNF521	21	0	dropped: <10000 autosomal sites
ZNF524	302	0	dropped: <10000 autosomal sites
ZNF528	2655	0	dropped: <10000 autosomal sites
ZNF529	645	0	dropped: <10000 autosomal sites
ZNF530	169	0	dropped: <10000 autosomal sites
ZNF532	296	0	dropped: <10000 autosomal sites
ZNF547	1698	0	dropped: <10000 autosomal sites
ZNF548	401	0	dropped: <10000 autosomal sites
ZNF549	5174	0	dropped: <10000 autosomal sites
ZNF554	23159	10000	kept
ZNF555	3257	0	dropped: <10000 autosomal sites
ZNF558	2321	0	dropped: <10000 autosomal sites
ZNF560	243	0	dropped: <10000 autosomal sites
ZNF561	1034	0	dropped: <10000 autosomal sites
ZNF563	2588	0	dropped: <10000 autosomal sites
ZNF571	12	0	dropped: <10000 autosomal sites
ZNF574	15587	10000	kept
ZNF580	24946	10000	kept
ZNF581	256	0	dropped: <10000 autosomal sites
ZNF582	447	0	dropped: <10000 autosomal sites
ZNF584	2056	0	dropped: <10000 autosomal sites
ZNF585B	2359	0	dropped: <10000 autosomal sites
ZNF586	2064	0	dropped: <10000 autosomal sites
ZNF589	2653	0	dropped: <10000 autosomal sites
ZNF592	5061	0	dropped: <10000 autosomal sites
ZNF595	414	0	dropped: <10000 autosomal sites
ZNF596	3120	0	dropped: <10000 autosomal sites
ZNF597	3636	0	dropped: <10000 autosomal sites
ZNF600	11525	10000	kept
ZNF610	1086	0	dropped: <10000 autosomal sites
ZNF614	10135	10000	kept
ZNF618	3728	0	dropped: <10000 autosomal sites
ZNF621	22	0	dropped: <10000 autosomal sites
ZNF623	5604	0	dropped: <10000 autosomal sites
ZNF624	27	0	dropped: <10000 autosomal sites
ZNF626	112	0	dropped: <10000 autosomal sites
ZNF652	18076	10000	kept
ZNF654	15104	10000	kept
ZNF658	10	0	dropped: <10000 autosomal sites
ZNF660	1461	0	dropped: <10000 autosomal sites
ZNF662	18	0	dropped: <10000 autosomal sites
ZNF664	6595	0	dropped: <10000 autosomal sites
ZNF667	336	0	dropped: <10000 autosomal sites
ZNF669	561	0	dropped: <10000 autosomal sites
ZNF677	945	0	dropped: <10000 autosomal sites
ZNF680	6112	0	dropped: <10000 autosomal sites
ZNF692	5397	0	dropped: <10000 autosomal sites
ZNF697	4475	0	dropped: <10000 autosomal sites
ZNF7	4552	0	dropped: <10000 autosomal sites
ZNF701	8768	0	dropped: <10000 autosomal sites
ZNF704	45	0	dropped: <10000 autosomal sites
ZNF707	458	0	dropped: <10000 autosomal sites
ZNF708	609	0	dropped: <10000 autosomal sites
ZNF711	1898	0	dropped: <10000 autosomal sites
ZNF740	2356	0	dropped: <10000 autosomal sites
ZNF746	67	0	dropped: <10000 autosomal sites
ZNF75A	2643	0	dropped: <10000 autosomal sites
ZNF76	6486	0	dropped: <10000 autosomal sites
ZNF766	4879	0	dropped: <10000 autosomal sites
ZNF768	9685	0	dropped: <10000 autosomal sites
ZNF770	52144	10000	kept
ZNF774	226	0	dropped: <10000 autosomal sites
ZNF776	13	0	dropped: <10000 autosomal sites
ZNF777	53	0	dropped: <10000 autosomal sites
ZNF778	6499	0	dropped: <10000 autosomal sites
ZNF784	721	0	dropped: <10000 autosomal sites
ZNF785	72	0	dropped: <10000 autosomal sites
ZNF791	651	0	dropped: <10000 autosomal sites
ZNF792	13662	10000	kept
ZNF8	5936	0	dropped: <10000 autosomal sites
ZNF816	1831	0	dropped: <10000 autosomal sites
ZNF83	21386	10000	kept
ZNF84	2531	0	dropped: <10000 autosomal sites
ZNF843	3261	0	dropped: <10000 autosomal sites
ZNF85	1206	0	dropped: <10000 autosomal sites
ZNF92	13930	10000	kept
ZSCAN16	21775	10000	kept
ZSCAN2	2837	0	dropped: <10000 autosomal sites
ZSCAN21	977	0	dropped: <10000 autosomal sites
ZSCAN22	19554	10000	kept
ZSCAN23	170	0	dropped: <10000 autosomal sites
ZSCAN26	65	0	dropped: <10000 autosomal sites
ZSCAN29	4790	0	dropped: <10000 autosomal sites
ZSCAN30	2136	0	dropped: <10000 autosomal sites
ZSCAN31	1436	0	dropped: <10000 autosomal sites
ZSCAN4	7947	0	dropped: <10000 autosomal sites
ZSCAN5C	958	0	dropped: <10000 autosomal sites
ZSCAN9	13097	10000	kept
ZXDB	4715	0	dropped: <10000 autosomal sites
ZXDC	12949	10000	kept
ZZZ3	715	0	dropped: <10000 autosomal sites
