tf	n_autosomal_sites	n_written	status
GRHL3	71100	10000	kept
GTF2B	2057	0	dropped: <10000 autosomal sites
GTF3A	257	0	dropped: <10000 autosomal sites
GZF1	139	0	dropped: <10000 autosomal sites
HAND1	1318	0	dropped: <10000 autosomal sites
HAND2	45683	10000	kept
HBP1	6426	0	dropped: <10000 autosomal sites
HES1	52009	10000	kept
HES2	11501	10000	kept
HES4	402	0	dropped: <10000 autosomal sites
HES5	30	0	dropped: <10000 autosomal sites
HES7	59	0	dropped: <10000 autosomal sites
HESX1	2	0	dropped: <10000 autosomal sites
HEY1	50572	10000	kept
HEY2	453	0	dropped: <10000 autosomal sites
HEYL	5001	0	dropped: <10000 autosomal sites
HHEX	3412	0	dropped: <10000 autosomal sites
HIC1	16514	10000	kept
HIC2	38	0	dropped: <10000 autosomal sites
HIF1A	225770	10000	kept
HIF3A	27927	10000	kept
HINFP	5874	0	dropped: <10000 autosomal sites
HIVEP1	4	0	dropped: <10000 autosomal sites
HIVEP3	3	0	dropped: <10000 autosomal sites
HLF	21344	10000	kept
HMBOX1	13944	10000	kept
HMG20A	24334	10000	kept
HMG20B	5765	0	dropped: <10000 autosomal sites
HMGA1	29811	10000	kept
HMGA2	56	0	dropped: <10000 autosomal sites
HNF1A	16995	10000	kept
HNF1B	38056	10000	kept
HNF4A	190887	10000	kept
HNF4G	28426	10000	kept
HOMEZ	28374	10000	kept
HOXA1	1064	0	dropped: <10000 autosomal sites
HOXA10	259	0	dropped: <10000 autosomal sites
HOXA13	94	0	dropped: <10000 autosomal sites
HOXA2	5868	0	dropped: <10000 autosomal sites
HOXA4	4213	0	dropped: <10000 autosomal sites
HOXA5	5764	0	dropped: <10000 autosomal sites
HOXA6	6835	0	dropped: <10000 autosomal sites
HOXA7	132	0	dropped: <10000 autosomal sites
HOXA9	51552	10000	kept
HOXB13	152161	10000	kept
HOXB4	1225	0	dropped: <10000 autosomal sites
HOXB5	21	0	dropped: <10000 autosomal sites
HOXB6	442	0	dropped: <10000 autosomal sites
HOXB7	105	0	dropped: <10000 autosomal sites
HOXB8	28278	10000	kept
HOXC11	71	0	dropped: <10000 autosomal sites
HOXC13	155	0	dropped: <10000 autosomal sites
HOXC5	24874	10000	kept
HOXC6	1169	0	dropped: <10000 autosomal sites
HOXC8	3030	0	dropped: <10000 autosomal sites
HOXC9	15333	10000	kept
HOXD1	996	0	dropped: <10000 autosomal sites
HOXD11	99	0	dropped: <10000 autosomal sites
HOXD4	17	0	dropped: <10000 autosomal sites
HOXD9	13	0	dropped: <10000 autosomal sites
HSF1	60707	10000	kept
HSF2	639	0	dropped: <10000 autosomal sites
HSF4	26	0	dropped: <10000 autosomal sites
IKZF1	157065	10000	kept
IKZF2	12621	10000	kept
IKZF3	35079	10000	kept
IKZF5	18846	10000	kept
IRF1	66688	10000	kept
IRF2	34952	10000	kept
IRF3	8691	0	dropped: <10000 autosomal sites
IRF4	112096	10000	kept
IRF5	1921	0	dropped: <10000 autosomal sites
IRF8	13	0	dropped: <10000 autosomal sites
IRF9	40033	10000	kept
