target	n_autosomal_sites	reason
DMC1	21471	not in TF gate set
SRSF9	21194	not in TF gate set
SMARCE1	21154	not in TF gate set
SRC	21125	not in TF gate set
BCOR	20199	not in TF gate set
SMARCA5	20026	not in TF gate set
ARID1B	19965	not in TF gate set
MED26	19764	not in TF gate set
MEN1	19649	not in TF gate set
IVNS1ABP	19362	not in TF gate set
PRPF4	18691	not in TF gate set
APOBEC3B	18334	not in TF gate set
HBZ	18004	not in TF gate set
DCP1A	17862	not in TF gate set
CTBP2	17722	not in TF gate set
SRSF4	17230	not in TF gate set
L3MBTL2	17131	not in TF gate set
JARID2	16897	not in TF gate set
NELFA	16833	not in TF gate set
CBX1	16637	not in TF gate set
SUPT16H	16401	not in TF gate set
HCFC1	15947	not in TF gate set
SUPT6H	15941	not in TF gate set
PRKCQ	15868	not in TF gate set
PALB2	15663	not in TF gate set
NFKBIZ	15642	not in TF gate set
BCHE	15515	not in TF gate set
CDK12	15464	not in TF gate set
SLC30A9	15181	not in TF gate set
HDGFL2	15097	not in TF gate set
KDM4C	15091	not in TF gate set
HDAC6	14998	not in TF gate set
KDM3A	14960	not in TF gate set
ATRX	14512	not in TF gate set
FGFR1	14417	not in TF gate set
KDM6B	14316	not in TF gate set
RAD51	14279	not in TF gate set
SMARCC2	14224	not in TF gate set
DMAP1	14129	not in TF gate set
HNRNPC	13774	not in TF gate set
CAT	13729	not in TF gate set
PCGF2	13681	not in TF gate set
BDP1	13532	not in TF gate set
ZMYND8	13317	not in TF gate set
MXD3	13247	not in TF gate set
MLLT3	13184	not in TF gate set
NOTCH3	13013	not in TF gate set
CBFA2T2	12780	not in TF gate set
DEK	12653	not in TF gate set
FUS	12566	not in TF gate set
KDM5C	12513	not in TF gate set
SAFB	12149	not in TF gate set
ESCO2	12144	not in TF gate set
XRCC4	12080	not in TF gate set
ZBTB25	11941	not in TF gate set
NSD2	11941	not in TF gate set
ORC1	11934	not in TF gate set
ZGPAT	11898	not in TF gate set
FXR2	11846	not in TF gate set
PML	11797	not in TF gate set
NUP153	11612	not in TF gate set
INTS12	11387	not in TF gate set
U2AF2	11177	not in TF gate set
SMN1	11057	not in TF gate set
DOT1L	10950	not in TF gate set
ASH2L	10894	not in TF gate set
RERE	10868	not in TF gate set
EBP	10863	not in TF gate set
CCNT2	10608	not in TF gate set
OR2M7	10502	not in TF gate set
ZNF511	10371	not in TF gate set
RNGTT	10233	not in TF gate set
MIER2	10181	not in TF gate set
GTF3C5	9986	not in TF gate set
MTA3	9788	not in TF gate set
HNRNPUL1	9694	not in TF gate set
KAT2B	9682	not in TF gate set
CBX5	9659	not in TF gate set
CTNNB1	9657	not in TF gate set
KDM3B	9541	not in TF gate set
ILF3	9439	not in TF gate set
TSC22D4	9338	not in TF gate set
ZNF629	9336	not in TF gate set
NFKBIA	9267	not in TF gate set
APP	9256	not in TF gate set
NBN	9131	not in TF gate set
PYGO2	9037	not in TF gate set
MXD4	9025	not in TF gate set
RFXANK	8835	not in TF gate set
ARRB1	8676	not in TF gate set
MBTPS2	8495	not in TF gate set
HMGN3	8273	not in TF gate set
C-MYC	8118	not in TF gate set
INTS3	8024	not in TF gate set
CBX6	7804	not in TF gate set
RBL2	7762	not in TF gate set
ZNF687	7647	not in TF gate set
BCLAF1	7631	not in TF gate set
APC	7596	not in TF gate set
CBFB	7535	not in TF gate set
CCND2	6945	not in TF gate set
MYH11	6881	not in TF gate set
NFRKB	6730	not in TF gate set
SIN3B	6720	not in TF gate set
CPSF3	6682	not in TF gate set
PHF2	6679	not in TF gate set
SETX	6528	not in TF gate set
TAF3	6503	not in TF gate set
ASF1A	6456	not in TF gate set
PRDM11	6400	not in TF gate set
EWSR1	6379	not in TF gate set
TRIM25	6359	not in TF gate set
GREB1	6319	not in TF gate set
CC2D1A	6299	not in TF gate set
L3MBTL4	6262	not in TF gate set
ZMIZ1	6147	not in TF gate set
ZNF518A	6138	not in TF gate set
MUC22	6029	not in TF gate set
SON	5924	not in TF gate set
ZNF207	5784	not in TF gate set
PSIP1	5764	not in TF gate set
ID3	5603	not in TF gate set
BRD1	5559	not in TF gate set
KDM5D	5374	not in TF gate set
TAF7	5241	not in TF gate set
KMT2D	5153	not in TF gate set
PHF6	5014	not in TF gate set
SKIL	4865	not in TF gate set
RBM14	4794	not in TF gate set
SNRNP70	4587	not in TF gate set
